case_id,actual,rules_prediction,rules_status,ml_prediction,ml_probability,tier,hop_count,failure_type,exact_partition,binary_partition,ml_exactly_recovered,ml_binary_recovered
RCA_001504,NO_FAILURE,,INSUFFICIENT_EVIDENCE,F09_GL_POSTING_MISMATCH,0.94400428909342,0,0,NO_FAILURE,both_wrong,both_wrong,False,False
RCA_001510,NO_FAILURE,,INSUFFICIENT_EVIDENCE,NO_FAILURE,0.9905905759477172,0,0,NO_FAILURE,ml_only_correct,ml_only_correct,True,True
RCA_001557,NO_FAILURE,,INSUFFICIENT_EVIDENCE,NO_FAILURE,0.9946174837043691,0,0,NO_FAILURE,ml_only_correct,ml_only_correct,True,True
RCA_001573,NO_FAILURE,,INSUFFICIENT_EVIDENCE,NO_FAILURE,0.995507531981172,0,0,NO_FAILURE,ml_only_correct,ml_only_correct,True,True
RCA_001587,NO_FAILURE,,INSUFFICIENT_EVIDENCE,NO_FAILURE,0.9973108901239758,0,0,NO_FAILURE,ml_only_correct,ml_only_correct,True,True
RCA_001594,NO_FAILURE,,INSUFFICIENT_EVIDENCE,NO_FAILURE,0.9398251180862811,0,0,NO_FAILURE,ml_only_correct,ml_only_correct,True,True
RCA_001625,NO_FAILURE,,INSUFFICIENT_EVIDENCE,NO_FAILURE,0.9733544461082508,0,0,NO_FAILURE,ml_only_correct,ml_only_correct,True,True
RCA_001644,NO_FAILURE,,INSUFFICIENT_EVIDENCE,NO_FAILURE,0.998352363971535,0,0,NO_FAILURE,ml_only_correct,ml_only_correct,True,True
RCA_001651,NO_FAILURE,,INSUFFICIENT_EVIDENCE,NO_FAILURE,0.9992844768537991,0,0,NO_FAILURE,ml_only_correct,ml_only_correct,True,True
RCA_001657,NO_FAILURE,,INSUFFICIENT_EVIDENCE,NO_FAILURE,0.9781813674439348,0,0,NO_FAILURE,ml_only_correct,ml_only_correct,True,True
RCA_001658,NO_FAILURE,,INSUFFICIENT_EVIDENCE,NO_FAILURE,0.9441530902030211,0,0,NO_FAILURE,ml_only_correct,ml_only_correct,True,True
RCA_001667,NO_FAILURE,,INSUFFICIENT_EVIDENCE,NO_FAILURE,0.9988852927632924,0,0,NO_FAILURE,ml_only_correct,ml_only_correct,True,True
RCA_001689,NO_FAILURE,,INSUFFICIENT_EVIDENCE,NO_FAILURE,0.989421770540214,0,0,NO_FAILURE,ml_only_correct,ml_only_correct,True,True
RCA_001699,NO_FAILURE,,INSUFFICIENT_EVIDENCE,NO_FAILURE,0.9853126201211986,0,0,NO_FAILURE,ml_only_correct,ml_only_correct,True,True
RCA_001707,NO_FAILURE,,INSUFFICIENT_EVIDENCE,NO_FAILURE,0.9987102714951949,0,0,NO_FAILURE,ml_only_correct,ml_only_correct,True,True
RCA_001754,NO_FAILURE,,INSUFFICIENT_EVIDENCE,NO_FAILURE,0.983696198253154,0,0,NO_FAILURE,ml_only_correct,ml_only_correct,True,True
RCA_001770,NO_FAILURE,,INSUFFICIENT_EVIDENCE,F14_BANK_ERP_AMOUNT_MISMATCH,0.5808367959378077,0,0,NO_FAILURE,both_wrong,both_wrong,False,False
RCA_001785,NO_FAILURE,,INSUFFICIENT_EVIDENCE,NO_FAILURE,0.9760954679694012,0,0,NO_FAILURE,ml_only_correct,ml_only_correct,True,True
RCA_001798,NO_FAILURE,,INSUFFICIENT_EVIDENCE,NO_FAILURE,0.9876585571872932,0,0,NO_FAILURE,ml_only_correct,ml_only_correct,True,True
RCA_001811,NO_FAILURE,,INSUFFICIENT_EVIDENCE,NO_FAILURE,0.9632688523643483,0,0,NO_FAILURE,ml_only_correct,ml_only_correct,True,True
RCA_001814,NO_FAILURE,,INSUFFICIENT_EVIDENCE,NO_FAILURE,0.9643685857539234,0,0,NO_FAILURE,ml_only_correct,ml_only_correct,True,True
RCA_001827,NO_FAILURE,,INSUFFICIENT_EVIDENCE,NO_FAILURE,0.9995712608774623,0,0,NO_FAILURE,ml_only_correct,ml_only_correct,True,True
RCA_001829,NO_FAILURE,,INSUFFICIENT_EVIDENCE,NO_FAILURE,0.995870267173335,0,0,NO_FAILURE,ml_only_correct,ml_only_correct,True,True
RCA_001839,NO_FAILURE,,INSUFFICIENT_EVIDENCE,NO_FAILURE,0.9959922027953425,0,0,NO_FAILURE,ml_only_correct,ml_only_correct,True,True
RCA_001846,NO_FAILURE,,INSUFFICIENT_EVIDENCE,NO_FAILURE,0.9851661911865875,0,0,NO_FAILURE,ml_only_correct,ml_only_correct,True,True
RCA_001850,NO_FAILURE,,INSUFFICIENT_EVIDENCE,NO_FAILURE,0.9902864629235649,0,0,NO_FAILURE,ml_only_correct,ml_only_correct,True,True
RCA_001856,NO_FAILURE,,INSUFFICIENT_EVIDENCE,NO_FAILURE,0.8476146784556244,0,0,NO_FAILURE,ml_only_correct,ml_only_correct,True,True
RCA_001862,NO_FAILURE,,INSUFFICIENT_EVIDENCE,NO_FAILURE,0.9878558032229936,0,0,NO_FAILURE,ml_only_correct,ml_only_correct,True,True
RCA_001865,NO_FAILURE,,INSUFFICIENT_EVIDENCE,NO_FAILURE,0.9949852916574562,0,0,NO_FAILURE,ml_only_correct,ml_only_correct,True,True
RCA_001881,NO_FAILURE,,INSUFFICIENT_EVIDENCE,NO_FAILURE,0.9830851343384123,0,0,NO_FAILURE,ml_only_correct,ml_only_correct,True,True
RCA_001894,NO_FAILURE,,INSUFFICIENT_EVIDENCE,NO_FAILURE,0.9837806434712375,0,0,NO_FAILURE,ml_only_correct,ml_only_correct,True,True
RCA_001897,NO_FAILURE,,INSUFFICIENT_EVIDENCE,NO_FAILURE,0.9076143385293576,0,0,NO_FAILURE,ml_only_correct,ml_only_correct,True,True
RCA_001910,NO_FAILURE,,INSUFFICIENT_EVIDENCE,NO_FAILURE,0.9761889178151723,0,0,NO_FAILURE,ml_only_correct,ml_only_correct,True,True
RCA_001913,NO_FAILURE,,INSUFFICIENT_EVIDENCE,NO_FAILURE,0.9863917155563525,0,0,NO_FAILURE,ml_only_correct,ml_only_correct,True,True
RCA_001914,NO_FAILURE,,INSUFFICIENT_EVIDENCE,F14_BANK_ERP_AMOUNT_MISMATCH,0.5500517012874471,0,0,NO_FAILURE,both_wrong,both_wrong,False,False
RCA_001942,NO_FAILURE,,INSUFFICIENT_EVIDENCE,F14_BANK_ERP_AMOUNT_MISMATCH,0.719015803691779,0,0,NO_FAILURE,both_wrong,both_wrong,False,False
RCA_001974,NO_FAILURE,,INSUFFICIENT_EVIDENCE,NO_FAILURE,0.8491793382029664,0,0,NO_FAILURE,ml_only_correct,ml_only_correct,True,True
RCA_001995,NO_FAILURE,,INSUFFICIENT_EVIDENCE,NO_FAILURE,0.9972548051422512,0,0,NO_FAILURE,ml_only_correct,ml_only_correct,True,True
RCA_002003,NO_FAILURE,,INSUFFICIENT_EVIDENCE,NO_FAILURE,0.9989343163955313,0,0,NO_FAILURE,ml_only_correct,ml_only_correct,True,True
RCA_002051,NO_FAILURE,,INSUFFICIENT_EVIDENCE,NO_FAILURE,0.9982782178843277,0,0,NO_FAILURE,ml_only_correct,ml_only_correct,True,True
RCA_002074,NO_FAILURE,,INSUFFICIENT_EVIDENCE,NO_FAILURE,0.9100444464743852,0,0,NO_FAILURE,ml_only_correct,ml_only_correct,True,True
RCA_002086,NO_FAILURE,,INSUFFICIENT_EVIDENCE,F14_BANK_ERP_AMOUNT_MISMATCH,0.6541844294943125,0,0,NO_FAILURE,both_wrong,both_wrong,False,False
RCA_002093,NO_FAILURE,,INSUFFICIENT_EVIDENCE,NO_FAILURE,0.9962998397483322,0,0,NO_FAILURE,ml_only_correct,ml_only_correct,True,True
RCA_002134,NO_FAILURE,,INSUFFICIENT_EVIDENCE,NO_FAILURE,0.990882589902793,0,0,NO_FAILURE,ml_only_correct,ml_only_correct,True,True
RCA_002144,NO_FAILURE,,INSUFFICIENT_EVIDENCE,NO_FAILURE,0.9164367565410299,0,0,NO_FAILURE,ml_only_correct,ml_only_correct,True,True
RCA_002163,NO_FAILURE,,INSUFFICIENT_EVIDENCE,NO_FAILURE,0.9978704176392783,0,0,NO_FAILURE,ml_only_correct,ml_only_correct,True,True
RCA_002169,NO_FAILURE,,INSUFFICIENT_EVIDENCE,NO_FAILURE,0.9990066836264977,0,0,NO_FAILURE,ml_only_correct,ml_only_correct,True,True
RCA_002170,NO_FAILURE,,INSUFFICIENT_EVIDENCE,NO_FAILURE,0.9944353412606229,0,0,NO_FAILURE,ml_only_correct,ml_only_correct,True,True
RCA_002201,NO_FAILURE,,INSUFFICIENT_EVIDENCE,NO_FAILURE,0.9949510650756257,0,0,NO_FAILURE,ml_only_correct,ml_only_correct,True,True
RCA_002208,NO_FAILURE,,INSUFFICIENT_EVIDENCE,NO_FAILURE,0.6876147546251868,0,0,NO_FAILURE,ml_only_correct,ml_only_correct,True,True
