case_id,actual_failure_type,predicted_failure_type,status,tier,hop_count,primary_cause,secondary_causes,expected_rule_trace_status,selected_reason
RCA_000563,F06_INVOICE_PAID_TWICE,F11_VENDOR_MASTER_CHANGE_CONFLICT,ANOMALY,3,2,COLLISION_OR_PRECEDENCE,FALSE_POSITIVE|FALSE_NEGATIVE,ANOMALY,"Payment PAY_0422779 at 2026-02-07T08:00:00 used stale token BA_TKN_SUPERSEDED_0000134 instead of effective token BA_TKN_042_0000340; bank counterparty BA_TKN_SUPERSEDED_0000134, bank status RETURNED, settlement FAILED."
RCA_000581,F06_INVOICE_PAID_TWICE,F08_APPROVAL_WORKFLOW_FAILURE,ANOMALY,3,2,COLLISION_OR_PRECEDENCE,FALSE_POSITIVE|FALSE_NEGATIVE,ANOMALY,Payment PAY_0424936 released invoice INV_0425140 requiring roles ['MANAGER']; observed pre-release roles/levels are [] and required role MANAGER is missing or out of order.
RCA_001111,F12_ERP_PAYMENT_MISSING_FROM_BANK,F07_PARTIAL_PAYMENT_RESIDUAL_BALANCE,ANOMALY,2,1,COLLISION_OR_PRECEDENCE,FALSE_POSITIVE|FALSE_NEGATIVE|THRESHOLD_LIMITATION,ANOMALY,"Invoice INV_0424349 status PAID has total 10392.59 USD, effective net paid 6235.55, and residual 4157.04."
RCA_001117,F12_ERP_PAYMENT_MISSING_FROM_BANK,F15_INCORRECT_PAYMENT_BANK_MATCH,ANOMALY,2,1,COLLISION_OR_PRECEDENCE,FALSE_POSITIVE|FALSE_NEGATIVE|THRESHOLD_LIMITATION,ANOMALY,"Reciprocal cross-match: current reference pairs [('BT_0421120', 'PAY_0423063'), ('BT_0423090', 'PAY_0421112')], unique economic pairs [('BT_0421120', 'PAY_0421112'), ('BT_0423090', 'PAY_0423063')], payment amounts [('PAY_0421112', '4102.82'), ('PAY_0423063', '3747.60')], bank counterparty tokens [('BT_0421120', 'BA_TKN_042_0000228'), ('BT_0423090', 'BA_TKN_042_0000228')]."
RCA_001504,NO_FAILURE,,INSUFFICIENT_EVIDENCE,,,MISSING_EVIDENCE,AMBIGUOUS_CASE,NOT_APPLICABLE,"Payment PAY_0420026 token BA_TKN_042_0000171 differs from effective token BA_TKN_SUPERSEDED_0000126, but no decisive transition establishes that relationship."
RCA_001509,NO_FAILURE,F07_PARTIAL_PAYMENT_RESIDUAL_BALANCE,ANOMALY,,,FALSE_POSITIVE,RULE_LIMITATION,NOT_APPLICABLE,"Invoice INV_0424349 status PAID has total 10392.59 USD, effective net paid 6235.55, and residual 4157.04."
RCA_001510,NO_FAILURE,,INSUFFICIENT_EVIDENCE,,,MISSING_EVIDENCE,AMBIGUOUS_CASE,NOT_APPLICABLE,F15 candidate evidence is missing or ambiguous: bank BT_0422953 has 0 economic candidates.
RCA_001557,NO_FAILURE,,INSUFFICIENT_EVIDENCE,,,MISSING_EVIDENCE,AMBIGUOUS_CASE,NOT_APPLICABLE,Invoice INV_0426417 is marked PAID but has zero effective allocations; F07 requires a positive partial payment. Payment PAY_0422486 reference PMTREF0000002528 has 0 qualifying non-fee posted bank debit(s); exactly one is required. F15 candidate evidence is missing or ambiguous: payment PAY_0422486 has no unique reference/economic bank candidate.
RCA_001573,NO_FAILURE,,INSUFFICIENT_EVIDENCE,,,MISSING_EVIDENCE,AMBIGUOUS_CASE,NOT_APPLICABLE,Invoice INV_0421084 is marked PAID but has zero effective allocations; F07 requires a positive partial payment. Payment PAY_0422127 reference PMTREF0000002169 has 0 qualifying non-fee posted bank debit(s); exactly one is required. F15 candidate evidence is missing or ambiguous: payment PAY_0422127 has no unique reference/economic bank candidate.
RCA_001584,NO_FAILURE,F11_VENDOR_MASTER_CHANGE_CONFLICT,ANOMALY,,,FALSE_POSITIVE,RULE_LIMITATION,NOT_APPLICABLE,"Payment PAY_0424455 at 2026-05-06T08:00:00 used stale token BA_TKN_SUPERSEDED_0000064 instead of effective token BA_TKN_042_0000282; bank counterparty BA_TKN_SUPERSEDED_0000064, bank status RETURNED, settlement FAILED."
