Feature ID,Name,Source Tables,Definition,Type,Missing Handling,Temporal Safety,Notes
CAT001,primary_entity_type,routing metadata,Whitelisted primary entity type.,categorical,__MISSING__,Available at routing time,
CAT002,invoice_currency,invoices,Currency of representative scoped invoice.,categorical,__MISSING__,Delivered snapshot,
CAT003,invoice_status,invoices,Normalized operational invoice status.,categorical,__MISSING__,Delivered snapshot,
CAT004,invoice_payment_terms,invoices,Normalized invoice payment terms.,categorical,__MISSING__,Delivered snapshot,
CAT005,invoice_department,invoice_lines,"Mode department across representative invoice lines, lexical tie-break.",categorical,__MISSING__,Delivered snapshot,
CAT006,invoice_gl_account,invoice_lines,"Mode GL account across representative invoice lines, lexical tie-break.",categorical,__MISSING__,Delivered snapshot,
CAT007,po_currency,purchase_orders,Currency of invoice-linked PO.,categorical,__MISSING__,Delivered snapshot,
CAT008,po_status,purchase_orders,Normalized status of invoice-linked PO.,categorical,__MISSING__,Delivered snapshot,
CAT009,po_department,purchase_orders,Normalized department of invoice-linked PO.,categorical,__MISSING__,Delivered snapshot,
CAT010,po_gl_account,purchase_orders,Normalized header GL account of invoice-linked PO.,categorical,__MISSING__,Delivered snapshot,
CAT011,vendor_type,vendors,Normalized vendor type for representative scoped vendor.,categorical,__MISSING__,Delivered snapshot,
CAT012,vendor_country,vendors,Normalized vendor country.,categorical,__MISSING__,Delivered snapshot,
CAT013,vendor_currency,vendors,Normalized vendor master currency.,categorical,__MISSING__,Delivered snapshot,
CAT014,vendor_payment_terms,vendors,Normalized vendor master payment terms.,categorical,__MISSING__,Delivered snapshot,
CAT015,vendor_default_payment_method,vendors,Normalized vendor default payment method.,categorical,__MISSING__,Delivered snapshot,
CAT016,vendor_status,vendors,Normalized operational vendor status.,categorical,__MISSING__,Delivered snapshot,
CAT017,payment_method,payments,Normalized representative payment method.,categorical,__MISSING__,Delivered snapshot,
CAT018,payment_currency,payments,Representative payment currency.,categorical,__MISSING__,Delivered snapshot,
CAT019,payment_status,payments,Normalized representative payment status.,categorical,__MISSING__,Delivered snapshot,
CAT020,settlement_status,payments,Normalized representative settlement status.,categorical,__MISSING__,Delivered snapshot,
CAT021,bank_transaction_type,bank_transactions,Normalized representative bank transaction type.,categorical,__MISSING__,Rows posted through AS_OF_DATE only,
CAT022,bank_currency,bank_transactions,Representative bank transaction currency.,categorical,__MISSING__,Rows posted through AS_OF_DATE only,
CAT023,bank_direction,bank_transactions,Normalized representative bank direction.,categorical,__MISSING__,Rows posted through AS_OF_DATE only,
CAT024,bank_status,bank_transactions,Normalized representative bank status.,categorical,__MISSING__,Rows posted through AS_OF_DATE only,
CAT025,final_approval_role,approval_events,Role on latest effective approval event at/before payment creation.,categorical,__MISSING__,Event timestamp <= payment creation,
CAT026,final_approval_action,approval_events,Action on latest effective approval event at/before payment creation.,categorical,__MISSING__,Event timestamp <= payment creation,
CAT027,gl_primary_transaction_type,gl_entries,Mode transaction type among source-linked GL rows.,categorical,__MISSING__,Delivered snapshot,
NUM001,invoice_total,invoices,Representative invoice total,numeric,Training median; explicit entity missingness retained,AS_OF_DATE/delivered snapshot; no historical aggregate,Decimal converted to float only after deterministic arithmetic
NUM002,invoice_subtotal,invoices,Representative invoice subtotal,numeric,Training median; explicit entity missingness retained,AS_OF_DATE/delivered snapshot; no historical aggregate,Decimal converted to float only after deterministic arithmetic
NUM003,invoice_tax,invoices,Representative invoice tax,numeric,Training median; explicit entity missingness retained,AS_OF_DATE/delivered snapshot; no historical aggregate,Decimal converted to float only after deterministic arithmetic
NUM004,invoice_shipping,invoices,Representative invoice shipping,numeric,Training median; explicit entity missingness retained,AS_OF_DATE/delivered snapshot; no historical aggregate,Decimal converted to float only after deterministic arithmetic
NUM005,invoice_age_calendar_days,invoices,AS_OF_DATE minus invoice_date in calendar days,numeric,Training median; explicit entity missingness retained,AS_OF_DATE/delivered snapshot; no historical aggregate,Decimal converted to float only after deterministic arithmetic
